CreatedDateTime,UserPrincipalName,IpAddress,AppDisplayName,ClientAppUsed,UserAgent,DeviceDetail.deviceId,CorrelationId,ResultType,Status.errorCode,Status.failureReason,Status.additionalDetails,RiskLevelAggregated,RiskState,RiskDetail,Location.countryOrRegion,Location.state,Location.city,ConditionalAccessStatus,AuthenticationRequirement,MfaDetail.authMethod,MfaDetail.authDetail,ResourceDisplayName,TenantId,UserId,SignInEventTypes,AppliedConditionalAccessPolicies,AuthenticationDetails,ServicePrincipalId,ServicePrincipalName,ManagedIdentityId
2025-12-24T03:59:00Z,svc.backup@evilcorp.com,83.45.12.34,Exchange Online,Other clients,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/119.0 Mobile,,bd77a80a-4299-4e6c-9662-79cb70712ee9,0,0,,,none,none,none,ES,Catalonia,Barcelona,success,none,,OTP,SharePoint,65a4f49f-3e0d-4b25-a54c-006bee4907ee,2c9eb0ca-8572-4444-b8c0-2a66ccdd349f,nonInteractiveUser,"[{""id"": ""3de41e92-8708-4fae-87fa-4c3b937534de"", ""displayName"": ""Require MFA for admins"", ""enforcedGrantControls"": [""mfa"", ""compliantDevice""], ""result"": ""failure""}]","[{""authenticationStepDateTime"": ""2026-01-08T15:49:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}]",4fc99bcb-c209-4ae4-8b6d-b24e6d0a6819,svc-payroll,
2025-12-13T18:42:00Z,cfo@evilcorp.com,83.45.12.34,Microsoft 365 Admin Center,Other clients,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/119.0 Mobile,,8d0e4573-33a7-4e55-acaa-fe4ee008572c,0,0,,,none,none,none,ES,Madrid,Madrid,unknown,multiFactorAuthentication,FIDO2,Push,Office 365 Exchange Online,67284799-3552-4b26-8153-bc2c2dfd0dfc,f68f1e8b-1d02-4fea-a2d8-617ca02b70da,nonInteractiveUser,[],"[{""authenticationStepDateTime"": ""2026-01-07T18:22:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-07T10:34:00Z"", ""authenticationMethod"": ""SMS"", ""authenticationMethodDetail"": ""Security Key"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}]",5e717829-3507-4c0c-8860-6759d81c274d,svc-backup,
2025-12-24T18:26:00Z,cfo@evilcorp.com,2.139.88.10,Azure Portal,POP3,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/119.0 Mobile,20a04645-f329-4035-b1eb-b032590bc71d,8090690b-6ce8-4c5d-a847-2d71326e2f26,50074,50074,MFA required.,AccountLocked,none,none,none,ES,Catalonia,Barcelona,notApplied,none,FIDO2,,Office 365 Exchange Online,323ca24e-5388-4995-b638-1451a884e8ed,90082d89-c5f2-4c9f-88f7-07c95ed5aecc,nonInteractiveUser,"[{""id"": ""dce98a81-5e85-497b-8fb2-051892a1313b"", ""displayName"": ""Require compliant device"", ""enforcedGrantControls"": [""mfa"", ""compliantDevice""], ""result"": ""failure""}, {""id"": ""2ab214b6-c0a2-4f8c-bf7a-b990a539cf22"", ""displayName"": ""Require MFA for admins"", ""enforcedGrantControls"": [""compliantDevice""], ""result"": ""failure""}, {""id"": ""9956e426-edea-442d-a342-9e6415fad8f7"", ""displayName"": ""Block legacy auth"", ""enforcedGrantControls"": [""compliantDevice""], ""result"": ""failure""}]","[{""authenticationStepDateTime"": ""2026-01-08T23:27:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}]",96240381-b88b-43d9-9212-2fb7808d8ebf,svc-backup,96682b36-ce4a-4818-9219-6bf6bf970b5a
2025-12-12T02:32:00Z,svc.backup@evilcorp.com,5.62.41.22,Microsoft Teams,Other clients,Microsoft Office/16.0 (Windows NT 10.0; Microsoft Outlook 16.0.17029; Pro),7cd2890e-a721-49b2-a1be-3c62bc705168,ec0f2b57-971f-4280-9e0b-da50eb41c167,50074,50074,Token issuer anomaly detected.,MFARequired,none,none,none,NL,North Holland,Amsterdam,failure,none,SMS,Push,Microsoft Graph,fc37111c-756e-4c23-98ad-bfc9cc52a8e3,8ef705df-5499-4def-bf16-a1248aa77c3d,nonInteractiveUser,"[{""id"": ""c88b2940-9672-4955-a492-c54682dd3f43"", ""displayName"": ""Require MFA for admins"", ""enforcedGrantControls"": [""mfa""], ""result"": ""notApplied""}, {""id"": ""57c66c6d-ae08-433e-a4ac-1a0784448bd9"", ""displayName"": ""Block legacy auth"", ""enforcedGrantControls"": [""mfa""], ""result"": ""success""}, {""id"": ""e87cd437-c1a4-443e-8c91-1e091b2a4d16"", ""displayName"": ""Require compliant device"", ""enforcedGrantControls"": [""mfa""], ""result"": ""notApplied""}]","[{""authenticationStepDateTime"": ""2026-01-08T19:24:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-07T05:28:00Z"", ""authenticationMethod"": ""Microsoft Authenticator"", ""authenticationMethodDetail"": ""Security Key"", ""authenticationStepResultDetail"": ""User did not respond"", ""succeeded"": true}]",dc1a1cda-adfe-4158-a3b6-6a8a1a148203,svc-payroll,
2025-12-23T00:59:00Z,svc.backup@evilcorp.com,185.199.110.42,Microsoft Teams,Browser,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/119.0 Mobile,,5253e4d5-6cf5-48b2-97a2-454a107f685a,50058,50058,MFA required.,InvalidGrant,none,none,none,FR,Île-de-France,Paris,notApplied,multiFactorAuthentication,Authenticator,Push,Office 365 Exchange Online,ae764827-f91d-4a46-968e-602a291165ad,9d92d574-f58d-4c0d-a431-9a3860819fb2,nonInteractiveUser,"[{""id"": ""68e68b40-f838-433c-b4d8-cb5792383e9f"", ""displayName"": ""Block legacy auth"", ""enforcedGrantControls"": [""compliantDevice""], ""result"": ""failure""}]","[{""authenticationStepDateTime"": ""2026-01-08T04:51:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}]",90b66245-d55a-48b5-b137-8c2dc820c314,svc-payroll,
2025-12-13T04:05:00Z,bob@evilcorp.com,20.190.128.12,SharePoint Online,Exchange ActiveSync,Microsoft Office/16.0 (Windows NT 10.0; Microsoft Outlook 16.0.17029; Pro),,7c6ad78c-ee4f-4443-902f-f35a511d4855,0,0,,,none,none,none,US,Virginia,Ashburn,unknown,multiFactorAuthentication,Authenticator,OTP,SharePoint,77b59ee2-8f64-4362-95d2-bbbbea95580d,dc9ca31e-4ad2-43c5-b28f-1dcda0d2eab6,nonInteractiveUser,"[{""id"": ""b5b71619-46e0-4491-a46f-9c2cb894fd7b"", ""displayName"": ""Require compliant device"", ""enforcedGrantControls"": [""mfa"", ""compliantDevice""], ""result"": ""failure""}]","[{""authenticationStepDateTime"": ""2026-01-09T17:14:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-07T09:50:00Z"", ""authenticationMethod"": ""SMS"", ""authenticationMethodDetail"": ""Security Key"", ""authenticationStepResultDetail"": ""User did not respond"", ""succeeded"": false}]",eaf059a7-6a6b-4db3-bd4b-18be3baf3056,svc-payroll,
2025-12-25T04:08:00Z,bob@evilcorp.com,83.45.12.34,Microsoft Teams,Browser,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/119.0 Mobile,14fe9743-5c4d-482d-8baa-8cdd8a92f5ae,f5373b6c-ef48-472d-901d-50824310e109,0,0,,,low,confirmedSafe,anonymousIPAddress,US,Virginia,Ashburn,success,multiFactorAuthentication,FIDO2,Security Key,SharePoint,4a513567-6ed7-4adf-95de-b432664a4d6a,dce893f3-7088-4ded-a12d-0e1f6810332a,nonInteractiveUser,"[{""id"": ""960aa6f6-bb68-4f24-a1a3-87b267c468f7"", ""displayName"": ""Require MFA for admins"", ""enforcedGrantControls"": [""mfa"", ""compliantDevice""], ""result"": ""notApplied""}, {""id"": ""d71a2a82-bebf-4180-a20a-05cf1612f87d"", ""displayName"": ""Block legacy auth"", ""enforcedGrantControls"": [""mfa"", ""compliantDevice""], ""result"": ""failure""}]","[{""authenticationStepDateTime"": ""2026-01-09T08:20:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-09T17:58:00Z"", ""authenticationMethod"": ""Microsoft Authenticator"", ""authenticationMethodDetail"": ""Push"", ""authenticationStepResultDetail"": ""User did not respond"", ""succeeded"": true}]",11f34bfa-6765-4714-9609-3321fb0cc707,svc-etl,
2025-12-24T03:17:00Z,it.admin@evilcorp.com,83.45.12.34,Microsoft Teams,POP3,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/119.0 Mobile,,d550d0c0-48d3-484d-b3f4-0c81b0bcaad9,0,0,,,none,none,none,NL,North Holland,Amsterdam,failure,singleFactorAuthentication,,Push,Office 365 Exchange Online,6a2e8637-dc46-4e33-a2bc-2ab435e78dd2,a0ad2413-1832-477e-9d7d-514b97f53cd3,nonInteractiveUser,"[{""id"": ""996b5b18-6eae-4b0c-a232-868f13cf7375"", ""displayName"": ""Require compliant device"", ""enforcedGrantControls"": [""mfa""], ""result"": ""failure""}, {""id"": ""6e93aecd-aa21-4c27-bb4a-fefe77ca6a15"", ""displayName"": ""Require compliant device"", ""enforcedGrantControls"": [""mfa"", ""compliantDevice""], ""result"": ""notApplied""}, {""id"": ""4fdddca4-e7c8-4479-860f-42cc5c930261"", ""displayName"": ""Block legacy auth"", ""enforcedGrantControls"": [""compliantDevice""], ""result"": ""success""}]","[{""authenticationStepDateTime"": ""2026-01-09T02:47:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}]",891c74fa-f025-4d7b-b036-c22f851ac759,svc-payroll,358fd5c3-dc6d-48e7-8935-4a5b7930ce91
2025-12-31T15:18:00Z,cfo@evilcorp.com,104.26.12.88,Microsoft Teams,IMAP4,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/119.0 Mobile,,44f44c7d-d8f1-4271-a455-1920f902adb8,0,0,,,none,none,none,DE,Berlin,Berlin,unknown,none,Authenticator,Push,Office 365 Exchange Online,2ef17afc-a03e-4964-a891-c5700ae9d411,41558a1f-57a2-4ec4-9515-e54b9e5b42df,nonInteractiveUser,"[{""id"": ""4858b8b1-44a3-43b2-9bbf-fd2946f480a5"", ""displayName"": ""Block legacy auth"", ""enforcedGrantControls"": [""mfa"", ""compliantDevice""], ""result"": ""notApplied""}, {""id"": ""dcc4bca9-df2c-4ea5-b7de-bfec0b0c4b56"", ""displayName"": ""Block legacy auth"", ""enforcedGrantControls"": [""mfa""], ""result"": ""success""}, {""id"": ""7645f21b-d4d9-428f-85e1-95ab27104b86"", ""displayName"": ""Require MFA for admins"", ""enforcedGrantControls"": [""mfa""], ""result"": ""failure""}]","[{""authenticationStepDateTime"": ""2026-01-07T20:55:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-08T11:02:00Z"", ""authenticationMethod"": ""SMS"", ""authenticationMethodDetail"": ""OTP"", ""authenticationStepResultDetail"": ""MFA required but not satisfied"", ""succeeded"": true}]",f121561a-884f-43cc-a03f-4543485c4ca3,svc-payroll,
2025-12-14T10:53:00Z,cfo@evilcorp.com,2.139.88.10,Microsoft Teams,Browser,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/119.0 Mobile,594bc837-2712-4ed9-aab3-fdd5706e32bf,e5c27b82-b58e-4ce2-8a9b-19e68a5c05d2,50053,50053,Invalid username or password.,StrongAuthenticationRequired,none,none,none,FR,Île-de-France,Paris,failure,singleFactorAuthentication,SMS,,Microsoft Graph,a6ff4cca-7b0b-4daf-b4b8-8eddd73b1733,ff522e89-1f60-4b8a-aa03-fce4f2c3fb33,nonInteractiveUser,"[{""id"": ""16bd7233-3f73-4194-ba1d-a6bb827e67b2"", ""displayName"": ""Require MFA for admins"", ""enforcedGrantControls"": [""mfa""], ""result"": ""failure""}]","[{""authenticationStepDateTime"": ""2026-01-10T02:10:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}]",435f6048-e5c0-49c7-91fc-a167ac1767ab,svc-payroll,
