CreatedDateTime,UserPrincipalName,IpAddress,AppDisplayName,ClientAppUsed,UserAgent,DeviceDetail.deviceId,CorrelationId,ResultType,Status.errorCode,Status.failureReason,Status.additionalDetails,RiskLevelAggregated,RiskState,RiskDetail,Location.countryOrRegion,Location.state,Location.city,ConditionalAccessStatus,AuthenticationRequirement,MfaDetail.authMethod,MfaDetail.authDetail,ResourceDisplayName,TenantId,UserId,SignInEventTypes,AppliedConditionalAccessPolicies,AuthenticationDetails,ServicePrincipalId,ServicePrincipalName,ManagedIdentityId,AuthenticationProtocol,AuthenticationProcessingDetails
2025-12-12T05:53:00Z,svc.backup@evilcorp.com,20.190.128.12,Microsoft 365 Admin Center,Browser,Microsoft Office/16.0 (Windows NT 10.0; Microsoft Outlook 16.0.17029; Pro),a9ec3079-8abe-4d91-91c6-3ecf6a8389d7,a64e1f76-d502-435f-8ff0-54f33f348252,50076,50076,Token issuer anomaly detected.,InvalidGrant,none,none,none,DE,Berlin,Berlin,failure,singleFactorAuthentication,FIDO2,,Office 365 Exchange Online,4aac2eab-be35-4281-b17e-0dfa86b69ee3,d37b30fc-0bbe-4325-9128-542782bbece7,nonInteractiveUser,[],"[{""authenticationStepDateTime"": ""2026-01-08T07:42:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}]",fd81079c-d62c-46c8-bc5e-53e92525563d,svc-payroll,,SAML,"[{""key"": ""TokenProtection"", ""value"": ""disabled""}]"
2025-12-16T06:54:00Z,bob@evilcorp.com,104.26.12.88,Graph Explorer,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0,04b3064b-f31a-4594-940c-f2596faac571,cb4024c3-5cf4-4f54-aa15-7a42f42c323d,50058,50058,Account is locked.,InvalidGrant,none,none,none,ES,Madrid,Madrid,unknown,multiFactorAuthentication,SMS,Push,SharePoint,f0df7d20-8880-45f6-b3fa-1f7a6bfc42a4,971b9490-ac20-4815-90e3-841ada95b16c,nonInteractiveUser,[],"[{""authenticationStepDateTime"": ""2026-01-09T06:48:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-08T17:05:00Z"", ""authenticationMethod"": ""SMS"", ""authenticationMethodDetail"": ""Security Key"", ""authenticationStepResultDetail"": ""User did not respond"", ""succeeded"": true}]",09217a59-3792-43c4-a741-fef0ff4de75e,svc-etl,,SAML,"[{""key"": ""TokenProtection"", ""value"": ""disabled""}]"
2026-01-04T01:18:00Z,it.admin@evilcorp.com,104.26.12.88,SharePoint Online,Other clients,Microsoft Office/16.0 (Windows NT 10.0; Microsoft Outlook 16.0.17029; Pro),,2acc9814-f30b-4b17-9b28-c911bcdd857f,50058,50058,MFA required.,StrongAuthenticationRequired,none,none,none,DE,Berlin,Berlin,notApplied,multiFactorAuthentication,SMS,,SharePoint,0755d86c-52fb-4560-a072-dd467fab2bf6,abab86ef-ea4e-450c-843a-9f12dda795be,nonInteractiveUser,[],"[{""authenticationStepDateTime"": ""2026-01-07T23:46:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-09T12:44:00Z"", ""authenticationMethod"": ""SMS"", ""authenticationMethodDetail"": ""Security Key"", ""authenticationStepResultDetail"": ""MFA required but not satisfied"", ""succeeded"": true}]",2ddef514-f520-4c89-8150-6cd42250597c,svc-payroll,,SAML,"[{""key"": ""TokenProtection"", ""value"": ""enabled""}]"
2025-12-14T13:06:00Z,it.admin@evilcorp.com,185.199.110.42,Exchange Online,Browser,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/119.0 Mobile,19734bbd-cb85-47cd-9492-b71ceb843f0a,9a399857-060a-4ad5-ad8c-776e07fc3aa0,50053,50053,Token issuer anomaly detected.,MFARequired,none,none,none,NL,North Holland,Amsterdam,notApplied,multiFactorAuthentication,,,SharePoint,b44f3695-94b6-4fbe-802e-bf3062340623,4afedf1f-7621-4b65-b985-ab5b5b26e0e6,nonInteractiveUser,[],"[{""authenticationStepDateTime"": ""2026-01-08T15:25:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-08T05:37:00Z"", ""authenticationMethod"": ""SMS"", ""authenticationMethodDetail"": ""Push"", ""authenticationStepResultDetail"": ""MFA required but not satisfied"", ""succeeded"": true}]",cdc1755b-ea37-477b-8867-e5b5e571569f,svc-etl,,OAuth2.0,"[{""key"": ""TokenProtection"", ""value"": ""enabled""}]"
2026-01-01T05:56:00Z,it.admin@evilcorp.com,104.26.12.88,Exchange Online,Other clients,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0,cc07bb3e-2f0c-46be-b01e-7ef9ea7f69d5,ba45ac02-0de7-4357-914d-b7bf41ac671b,50074,50074,Token issuer anomaly detected.,AccountLocked,none,none,none,ES,Catalonia,Barcelona,notApplied,singleFactorAuthentication,SMS,OTP,Office 365 Exchange Online,7acfe533-46af-45c5-9384-2fae3d5f04a1,84bd3a75-17fb-4378-bfba-0b181b4fec7b,nonInteractiveUser,"[{""id"": ""59362a31-7816-4050-aad0-91372190047f"", ""displayName"": ""Require MFA for admins"", ""enforcedGrantControls"": [""compliantDevice""], ""result"": ""failure""}]","[{""authenticationStepDateTime"": ""2026-01-09T21:00:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-07T05:46:00Z"", ""authenticationMethod"": ""SMS"", ""authenticationMethodDetail"": ""Push"", ""authenticationStepResultDetail"": ""MFA required but not satisfied"", ""succeeded"": true}]",5cbef259-e1f9-482e-9a3d-14d2e8ccac7f,svc-etl,,SAML,"[{""key"": ""TokenProtection"", ""value"": ""enabled""}]"
2025-12-12T17:02:00Z,cfo@evilcorp.com,5.62.41.22,Azure Portal,Exchange ActiveSync,Microsoft Office/16.0 (Windows NT 10.0; Microsoft Outlook 16.0.17029; Pro),27228d6a-0499-4e4e-a319-b9cdab7ad218,8bb0450d-4224-4709-b758-8ad1919f61b5,0,0,,,none,none,none,ES,Madrid,Madrid,unknown,singleFactorAuthentication,,Push,Microsoft Graph,9ed4a48a-498b-468c-bf66-6efa387b74ce,2ce75b01-9a5c-4974-b87b-39fcfeb8f7ce,nonInteractiveUser,"[{""id"": ""8a48dc75-fead-47db-a5af-4162564a5757"", ""displayName"": ""Block legacy auth"", ""enforcedGrantControls"": [""mfa"", ""compliantDevice""], ""result"": ""success""}, {""id"": ""973abb48-39ea-4b18-ad43-87f1c36ecd98"", ""displayName"": ""Require compliant device"", ""enforcedGrantControls"": [""mfa"", ""compliantDevice""], ""result"": ""notApplied""}, {""id"": ""5c87a4b3-5a70-4026-a6b6-df13a820edf7"", ""displayName"": ""Block legacy auth"", ""enforcedGrantControls"": [""mfa"", ""compliantDevice""], ""result"": ""notApplied""}]","[{""authenticationStepDateTime"": ""2026-01-09T04:16:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}]",6c9c09c5-628c-4709-87a6-8e810c476052,svc-backup,,SAML,"[{""key"": ""TokenProtection"", ""value"": ""disabled""}]"
2025-12-21T00:41:00Z,cfo@evilcorp.com,185.199.110.42,Microsoft 365 Admin Center,Other clients,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0,,77a41fd5-a384-49df-8328-2a7efb8571bb,0,0,,,none,none,none,DE,Berlin,Berlin,success,multiFactorAuthentication,,OTP,Microsoft Graph,e14bf7f4-2dbc-4f58-9add-7261a35c22f4,8ccb190b-9cf5-4fda-a477-13496c632745,nonInteractiveUser,"[{""id"": ""2026679f-7d51-4805-a500-018f60d349a5"", ""displayName"": ""Block legacy auth"", ""enforcedGrantControls"": [""mfa"", ""compliantDevice""], ""result"": ""failure""}]","[{""authenticationStepDateTime"": ""2026-01-07T10:26:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-09T19:29:00Z"", ""authenticationMethod"": ""SMS"", ""authenticationMethodDetail"": ""OTP"", ""authenticationStepResultDetail"": ""User did not respond"", ""succeeded"": false}]",8b17a60f-97e3-4f10-be6e-d3f4c03e1816,svc-payroll,,OAuth2.0,"[{""key"": ""TokenProtection"", ""value"": ""enabled""}]"
2025-12-29T11:05:00Z,it.admin@evilcorp.com,83.45.12.33,Microsoft Teams,Exchange ActiveSync,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0,,79ef0d0f-4755-49d4-a938-1d4ffd77d4f4,50074,50074,Token issuer anomaly detected.,InvalidGrant,none,none,none,ES,Catalonia,Barcelona,unknown,singleFactorAuthentication,Authenticator,Push,SharePoint,3b8ccaf2-f5c0-457a-9353-b2b6b2b4bde8,41afe6e2-67e7-4a3f-96c4-bf6c541fd688,nonInteractiveUser,[],"[{""authenticationStepDateTime"": ""2026-01-08T03:03:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}]",f4d3561e-e335-47a0-b9c6-7b805d8380c0,svc-payroll,aeebf476-6482-4394-b945-e0ee839944a2,SAML,"[{""key"": ""TokenProtection"", ""value"": ""disabled""}]"
2025-12-19T08:19:00Z,alice@evilcorp.com,83.45.12.33,Microsoft Teams,IMAP4,Microsoft Office/16.0 (Windows NT 10.0; Microsoft Outlook 16.0.17029; Pro),,2604030e-22b9-44e9-a065-60e34ac8e168,50053,50053,Token issuer anomaly detected.,InvalidGrant,none,none,none,ES,Madrid,Madrid,unknown,multiFactorAuthentication,Authenticator,Push,Office 365 Exchange Online,e2136d11-5ee0-4183-8a0e-ea7f4f4beadd,625f2744-88ab-406d-a13e-15898ab5415e,nonInteractiveUser,[],"[{""authenticationStepDateTime"": ""2026-01-08T06:11:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-08T16:50:00Z"", ""authenticationMethod"": ""Microsoft Authenticator"", ""authenticationMethodDetail"": ""Push"", ""authenticationStepResultDetail"": ""User did not respond"", ""succeeded"": true}]",40bf9b3a-d374-4c6d-9514-4d13b1e5c5a3,svc-backup,,OAuth2.0,"[{""key"": ""TokenProtection"", ""value"": ""enabled""}]"
2025-12-23T03:59:00Z,alice@evilcorp.com,5.62.41.22,SharePoint Online,Exchange ActiveSync,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/119.0 Mobile,638d8072-e7e4-4d6e-a1aa-c881bce63e7b,aeef0014-a956-4afc-9859-b23388d04eb3,50058,50058,Token issuer anomaly detected.,AccountLocked,none,none,none,NL,North Holland,Amsterdam,failure,singleFactorAuthentication,FIDO2,Security Key,Office 365 Exchange Online,f27f2d63-fafa-4e8d-b56a-59bc3602c4f7,8926e2ca-8c5b-4627-97b7-2d95afc08d1b,nonInteractiveUser,"[{""id"": ""7cc5f0de-ce30-42b7-8596-191c51e3fefb"", ""displayName"": ""Require MFA for admins"", ""enforcedGrantControls"": [""mfa"", ""compliantDevice""], ""result"": ""failure""}, {""id"": ""54417d37-2010-4ae7-9a3a-9e22b412a735"", ""displayName"": ""Block legacy auth"", ""enforcedGrantControls"": [""compliantDevice""], ""result"": ""success""}]","[{""authenticationStepDateTime"": ""2026-01-07T17:25:00Z"", ""authenticationMethod"": ""Password"", ""authenticationMethodDetail"": ""Password"", ""authenticationStepResultDetail"": ""Success"", ""succeeded"": true}, {""authenticationStepDateTime"": ""2026-01-08T15:10:00Z"", ""authenticationMethod"": ""FIDO2"", ""authenticationMethodDetail"": ""OTP"", ""authenticationStepResultDetail"": ""MFA required but not satisfied"", ""succeeded"": true}]",28288b53-f081-4fad-b731-45cd76313bc8,svc-payroll,,SAML,"[{""key"": ""TokenProtection"", ""value"": ""disabled""}]"
